island,year,count_employed,age,sex,disability
Kiribati,2019,7856,25-54,Female,_T
Kiribati,2019,869,55-64,Female,_T
Marshall Islands,2011,3255,25-54,Female,_T
Marshall Islands,2011,393,55-64,Female,_T
Marshall Islands,2019,4030,25-54,Female,_T
Marshall Islands,2019,600,55-64,Female,_T
Nauru,2011,919,25-54,Female,_T
Nauru,2011,69,55-64,Female,_T
Nauru,2012,1156,25-54,Female,_T
Nauru,2012,104,55-64,Female,_T
Kiribati,2019,11450,25-54,Male,_T
Kiribati,2019,1055,55-64,Male,_T
Marshall Islands,2011,5935,25-54,Male,_T
Marshall Islands,2011,836,55-64,Male,_T
Marshall Islands,2019,8497,25-54,Male,_T
Marshall Islands,2019,1456,55-64,Male,_T
Nauru,2011,1364,25-54,Male,_T
Nauru,2011,103,55-64,Male,_T
Nauru,2012,1669,25-54,Male,_T
Nauru,2012,136,55-64,Male,_T
